t,x,y,z
0.0,17.67715816276679,12.931379185960404,43.91404334248268
0.01,19.75411029230421,9.308452766595336,42.975286482973786
0.02,18.77611970953721,5.871583835875859,41.48231099399762
0.03,16.004466729503537,3.11857011665869,39.425271726042396
0.04,12.544918258866923,1.2014577189390119,37.05079794928607
0.05,9.15547684066694,0.018050574145827947,34.606459294899174
0.06,6.245728823045772,-0.6280472056139742,32.24295945855177
0.07,3.950082622367073,-0.933187484794749,30.024657028350216
0.08,2.241513633423085,-1.0476280606267068,27.96550589803225
0.09,1.0223372803047643,-1.0708998237019705,26.058501373942978
0.1,0.17776848687393515,-1.0624015892539944,24.290839696671313
0.11,-0.3961049802169731,-1.0545605830613527,22.649949329601828
0.12,-0.786626325904993,-1.0632864977510774,21.1248382055315
0.13,-1.0588295084741484,-1.0954443763540893,19.70632711555572
0.14,-1.2593742481304622,-1.153590428698327,18.386629820850377
0.15,-1.4219639754139477,-1.2384513794671141,17.15894483443946
0.16,-1.5676348907724678,-1.3509685383119776,16.017421702186553
0.17,-1.7145505030700052,-1.4919014527322294,14.95676067637999
0.18,-1.8696033097261218,-1.6641291083968521,13.972599318668403
0.19,-2.0479532488926413,-1.8688828099628796,13.060609376995906
0.2,-2.2488761812524767,-2.112908118772741,12.218530756190816
0.21,-2.479400350260551,-2.400412851781301,11.443539943352103
0.22,-2.7510655231907366,-2.7364242892453214,10.734157106008361
0.23,-3.0657246606883533,-3.13035763940903,10.090597199767318
0.24,-3.435394798170842,-3.5880179187517998,9.512873867289706
0.25,-3.8665181883623045,-4.121517986140168,9.005114198554683
0.26,-4.366620339896589,-4.742665805173964,8.571706641522912
0.27,-4.952963345322661,-5.461171448000215,8.220302711437057
0.28,-5.634296409826235,-6.294842026439405,7.96472505497441
0.29,-6.430067682798867,-7.255617449833064,7.818583175435601
0.3,-7.362183168561176,-8.357778212750981,7.808477201596662
0.31,-8.449413624793918,-9.618695241809183,7.966122115234218
0.32,-9.72705863387998,-11.04386837114306,8.333193404606382
0.33,-11.228399268462303,-12.637319677648462,8.96756381549394
0.34,-12.997828408838945,-14.383684525876204,9.941710046907726
0.35000000000000003,-15.079184026123086,-16.246301729919765,11.3483057655005
0.36,-17.520306676605713,-18.1425240191099,13.293788491910197
0.37,-20.348937531978578,-19.926437298591306,15.88797229844908
0.38,-23.539181597638144,-21.357222024416004,19.206822647522543
0.39,-26.955747913263608,-22.09096081445368,23.242134434986745
0.4,-30.24478840085208,-21.70595539315624,27.77557912865707
0.41000000000000003,-32.774473260391176,-19.869742038719586,32.28624398405108
0.42,-33.74137081756905,-16.57303646624648,36.013975428453755
0.43,-32.523745293486805,-12.331748260146066,38.23162600761979
0.44,-29.123710299531883,-8.018062921754629,38.67319954313465
0.45,-24.2469993243161,-4.40914603163206,37.644839651071564
0.46,-18.884999181397387,-1.8435836133934682,35.7368149602069
0.47000000000000003,-13.8589804287775,-0.2555813414317646,33.47924340850348
0.48,-9.62667598979676,0.6054728697007203,31.193067003687066
0.49,-6.320412733367657,1.0055258116683905,29.021666901651614
0.5,-3.8712233978484085,1.1497427897406785,27.006923292693777
0.51,-2.125675527166143,1.172177949494479,25.14793773769943
0.52,-0.9150716061676081,1.15152097250343,23.431083210076785
0.53,-0.09034134729424512,1.129828161210932,21.84173585037299
0.54,0.46932379496219157,1.1273114203927384,20.367376255924064
0.55,0.8559488477783533,1.1521751875060966,18.997819947996682
0.56,1.1344500635526065,1.2070865474289865,17.724819421312983
0.5700000000000001,1.349954427496376,1.2926320001127736,16.541485049924102
0.58,1.5346955845272832,1.4088535425895816,15.441875010631051
0.59,1.709282972710035,1.556669842666623,14.420898941478644
0.6,1.889568072783148,1.7378704985407194,13.474271975537258
0.61,2.0834598764721672,1.95593702511569,12.59838418967904
0.62,2.305639618322707,2.213392994168964,11.790098569645389
0.63,2.5557132568438368,2.518529965831303,11.048268259456844
0.64,2.845210969619449,2.875498950473019,10.3709906847669
0.65,3.1832771971855265,3.2924212074630153,9.759044004957193
0.66,3.5740672989184827,3.779868366869432,9.214226858944874
0.67,4.032369926813885,4.3451701470883775,8.739293418532842
0.68,4.565077201444727,5.00336690871171,8.342097384101681
0.6900000000000001,5.184868851214762,5.766459475257404,8.030166543255818
0.7000000000000001,5.910769814369003,6.647044611556172,7.818281375132106
0.71,6.754914935775343,7.6641192342137705,7.726920056743034
0.72,7.74365817883009,8.828783773209299,7.78013699052711
0.73,8.902219923314691,10.154582691322064,8.016822123101813
0.74,10.26336370029767,11.64878528943307,8.482361582319932
0.75,11.864784816411447,13.307378223625618,9.242407425248386
0.76,13.75232532251797,15.111432254013192,10.37574877277028
0.77,15.971457301888554,17.00437127709951,11.982050076094067
0.78,18.568228242778204,18.887956373838584,14.174847379799303
0.79,21.55280609021782,20.575539389733752,17.05289349865278
0.8,24.867883843346775,21.789731927763793,20.672350052582644
0.81,28.306470492482585,22.144254896849073,24.958676294936467
0.8200000000000001,31.40636392738093,21.219875748508656,29.583822078069737
0.8300000000000001,33.435854908610686,18.77682163216086,33.908098280614716
0.84,33.60102756777246,15.00145315446489,37.131988622575385
0.85,31.479906391160785,10.59978000404678,38.66020810585461
0.86,27.370386731848495,6.46974752897344,38.46253263463549
0.87,22.161266914872172,3.2425148208069245,37.00789451019184
0.88,16.827788234283126,1.0775386820856963,34.90046723647219
0.89,12.059273635201652,-0.1933900513564389,32.597239162757845
0.9,8.175683979850131,-0.8435818165845756,30.341100813457974
0.91,5.212787207371932,-1.1215442574551049,28.226320406838944
0.92,3.055533558749701,-1.2045246776444851,26.272086812350352
0.93,1.5370134734218808,-1.2027978274547306,24.4696794561908
0.9400000000000001,0.4927348654029502,-1.178712127515141,22.804018791022823
0.9500000000000001,-0.2155920759231694,-1.1643988407754449,21.261027565400592
0.96,-0.6989140413166909,-1.1743240333771356,19.828987705997573
0.97,-1.0378697130879817,-1.2139439829429743,18.498522894638775
0.98,-1.289539471003344,-1.284748303869368,17.26194287884721
0.99,-1.4930226237120945,-1.3870712037075312,16.112792550953063
1.0,-1.6744636618135185,-1.5216093534559147,15.045613000720149
1.01,-1.8562530236863033,-1.688700792754053,14.055418152546437
